,,,,,,,,,,,,,,
,,,,,media,1.30555555555556,,,,,,,,
,,,,,ventaja Local,1,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,412.698179012346,,
,,,,,,,,,,,,,,
,Ataque ,Visita,,juegos,,Local,Visitante,Local,Visita,P Local,P Vista,Erro,,
,,,,88,19 de Marzo,Pumas UNAM,Necaxa,1,3,1.57,1.57,2.37555555555556,,
,,,,89,19 de Marzo,Tigres UANL,Monterrey,2,0,3.47,3.47,14.2292598765432,,
,,,,90,19 de Marzo,Pachuca,Cruz Azul,1,0,3.39,3.39,17.2556172839506,,
,,,,91,20 de Marzo,Club América,Toluca,3,0,1.33,1.33,4.55667222222222,,
,,,,92,1 de Abril,San Luis,Mazatlán,1,0,1.29,1.29,1.75611249999999,,
,,,,93,2 de Abril,Cruz Azul,Atlas,1,0,3.06,3.06,13.55605,,
,,,,94,2 de Abril,Necaxa,Club América,0,1,2.66,2.66,9.8600222222222,,
,,,,95,2 de Abril,Juárez,Pumas UNAM,0,1,0.39,0.39,0.523472222222223,,
,,,,96,3 de Abril,Toluca,Puebla,2,1,1.25,1.25,0.621688888888892,,
,,,,97,3 de Abril,León,Querétaro,1,1,0.52,0.52,0.456543209876548,,
,,,,98,3 de Abril,Tigres UANL,Club Tijuana,2,0,0.99,0.99,2.00012098765432,,
,,,,99,3 de Abril,Santos Laguna,Pachuca,3,1,1.83,1.83,2.05932098765432,,
,,,,100,13 de abril,Guadalajara,Monterrey,1,3,2.74,2.74,3.10013888888888,,
,,,,,,Necaxa,Toluca,1,3,0.94,0.94,4.24720000000001,,
,,,,,,Mazatlán,Puebla,2,4,1.88,1.88,4.50880000000001,,
,,,,,,Guadalajara,Juárez,0,0,0.59,0.59,0.690312499999992,,
,,,,,,Tigres UANL,Cruz Azul,2,3,3.22,3.22,1.55044459876543,,
,,,,,,Club América,Atlas,0,0,4.00,4.00,31.92005,,
,,,,,,Pumas UNAM,Club Tijuana,1,1,0.52,0.52,0.456543209876548,,
,,,,,,San Luis,León,0,1,1.15,1.15,1.34211358024691,,
,,,,,,Santos Laguna,Monterrey,,,1.28,1.28,3.27395617283949,,
