,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Local,Visita,Local,Visita,,,,,,Locaal,,Visita,,Promedio,,,,Indices,,,
1,98,Guadalajara,Pumas UNAM,3,1,,,,,,,,,,,,,,,,,
1,99,Toluca,Pachuca,1,4,,,,,,,,,,,,,,,,,
1,100,León,Atlas,4,2,,,,,,,,,,,,,,,,,
1,101,Santos Laguna,San Luis,4,1,,,,,,,,,,,,,,,,,
1,102,Club Tijuana,Monterrey,0,3,,,,,,,,,,,,,,,,,
1,103,San Luis,Club Tijuana,0,0,,,,,,,,,,,,,,,,,
1,104,Querétaro,Puebla,1,1,,,,,,,,,,,,,,,,,
1,105,Necaxa,León,3,2,,,,,,,,,,,,,,,,,
1,106,Juárez,Cruz Azul,2,2,,,,,,,,,,,,,,,,,
1,107,Pachuca,Santos Laguna,2,0,,,,,,,,,,,,,,,,,
1,108,Monterrey,Mazatlán,0,0,,,,,,,,,,,,,,,,,
1,109,Atlas,Pumas UNAM,0,0,,,,,,,,,,,,,,,,,
1,110,Club América,Tigres UANL,2,1,,,,,,,,,,,,,,,,,
1,111,Toluca,Guadalajara,0,0,,,,,,,,,,,,,,,,,
1,112,León,Juárez,1,0,,,,,,,,,,,,,,,,,
1,113,Santos Laguna,Necaxa,3,1,,,,,,,,,,,,,,,,,
1,114,Monterrey,Cruz Azul,3,2,,,,,,,,,,,,,,,,,
1,115,Club América,San Luis,3,0,,,,,,,,,,,,,,,,,
1,116,Puebla,Pachuca,2,2,,,,,,,,,,,,,,,,,
1,117,Tigres UANL,Toluca,3,1,,,,,,,,,,,,,,,,,
1,118,Mazatlán,Atlas,1,0,,,,,,,,,,,,,,,,,
1,119,Pumas UNAM,Querétaro,4,1,,,,,,,,,,,,,,,,,
1,120,Club Tijuana,Guadalajara,1,2,,,,,,,,,,,,,,,,,
1,121,Pumas UNAM,Querétaro,4,1,,,,,,,,,,,,,,,,,
1,122,Juárez,Monterrey,0,1,,,,,,,,,,,,,,,,,
1,123,Querétaro,Santos Laguna,3,3,,,,,,,,,,,,,,,,,
1,124,Necaxa,Club América,1,2,,,,,,,,,,,,,,,,,
1,125,Tigres UANL,León,0,1,,,,,,,,,,,,,,,,,
1,126,Toluca,Pumas UNAM,2,2,,,,,,,,,,,,,,,,,
1,127,Guadalajara,Puebla,1,0,,,,,,,,,,,,,,,,,
1,128,Cruz Azul,Mazatlán,2,0,,,,,,,,,,,,,,,,,
1,129,Atlas,San Luis,1,3,,,,,,,,,,,,,,,,,
1,130,Pachuca,Club Tijuana,6,1,,,,,,,,,,,,,,,,,
1,131,Guadalajara,Tigres UANL,1,3,,,,,,,,,,,,,,,,,
1,132,Club América,Santos Laguna,3,3,,,,,,,,,,,,,,,,,
1,133,Cruz Azul,León,2,1,,,,,,,,,,,,,,,,,
1,134,Puebla,Tigres UANL,2,1,,,,,,,,,,,,,,,,,
1,135,Mazatlán,Toluca,1,1,,,,,,,,,,,,,,,,,
1,136,Monterrey,Atlas,2,0,,,,,,,,,,,,,,,,,
1,137,Club América,Guadalajara,2,1,,,,,,,,,,,,,,,,,
,138,Pumas UNAM,Cruz Azul,1,2,,,,,,,,,,,,,,,,,
,139,Santos Laguna,Juárez,2,0,,,,,,,,,,,,,,,,,
,140,León,Querétaro,3,1,,,,,,,,,,,,,,,,,
,141,San Luis,Pachuca,1,2,,,,,,,,,,,,,,,,,
,142,Club Tijuana,Necaxa,1,1,,,,,,,,,,,,,,,,,
,143,Puebla,Pumas UNAM,2,1,,,,,,,,,,,,,,,,,
,144,Necaxa,Mazatán,2,2,,,,,,,,,,,,,,,,,
,145,Puebla,Club América,1,2,,,,,,,,,,,,,,,,,
,146,Juárez,Pumas UNAM,3,1,,,,,,,,,,,,,,,,,
,147,San Luis,Tigres UANL,0,3,,,,,,,,,,,,,,,,,
,148,Monterrey,Pachuca,0,0,,,,,,,,,,,,,,,,,
,149,Atlas,Necaxa,1,0,,,,,,,,,,,,,,,,,
,150,Cruz Azul,Guadalajara,2,1,,,,,,,,,,,,,,,,,
,151,,,,,,,,,,,,,,,,,,,,,
,152,,,,,,,,,,,,,,,,,,,,,
