Fecha,Hora,Local,Visitante,Goles_local,Goles_Visitante,Tiros_Local,Tiros_Gol_Local,Tiros_Visitante,Tiros_Gol_Visitante,Posecion_Local,Posecion_Visitante,Temporada
2023-03-05,19:05:00,Queretaro,Toluca,1,0,7,5,7,22,0.25,0.75,Clausura 2023
2023-03-11,17:00:00,Atlas,Leon,0,1,21,4,19,5,0.56,0.44,Clausura 2023
2023-03-10,19:05:00,Atletico,Queretaro,2,0,17,6,7,1,0.56,0.54,Clausura 2023
2023-03-10,21:05:00,Puebla,Chivas,1,0,8,2,19,2,0.4,0.6,Clausura 2023
2023-03-12,12:00:00,Toluca,Mazatlan,4,1,25,11,6,1,0.69,0.31,Clausura 2023
2023-03-11,19:05:00,Cruz Azul,Pumas,1,0,,,,,,,Clausura 2023
2023-03-11,21:10:00,Tigres,America,0,2,,,,,,,Clausura 2023
2023-03-12,19:05:00,Santos,Tijuana,3,2,,,,,,,Clausura 2023
2023-03-12,19:05:00,Pachuca,Monterrey,1,2,,,,,,,Clausura 2023
2023-03-12,21:15:00,Juarez,Necaxa,1,1,,,,,,,Clausura 2023
2021-01-08,,Cruz Azul,Atletico,1,0,,,,,,,
,,Puebla,Atlas,0,4,,,,,,,
,,Mazatlan,Necaxa,0,1,,,,,,,
,,Tijuana,Toluca,3,3,,,,,,,
,,Pumas,Pachuca,0,2,,,,,,,
,,Tigres,Monterrey,0,1,,,,,,,
,,Chivas,America,2,4,,,,,,,
,,Queretaro,Juarez,2,2,,,,,,,
,,Leon,Santos,4,1,,,,,,,
,,Mazatlan,Leon,1,2,,,,,,,
